year,count
1765,1
1785,2
1798,3
1799,4
1800,31
1801,35
1805,36
1821,37
1824,39
1826,41
1827,44
1830,50
1834,52
1836,53
1839,54
1841,58
1842,59
1843,61
1845,63
1846,64
1847,66
1848,67
1849,68
1850,88
1851,90
1852,92
1853,93
1855,97
1856,99
1857,101
1858,102
1859,104
1860,114
1862,115
1863,116
1865,123
1866,125
1868,127
1869,133
1870,146
1872,148
1873,150
1875,160
1876,161
1880,253
1881,254
1882,259
1883,261
1884,264
1885,281
1886,284
1887,295
1888,306
1889,312
1890,552
1891,561
1892,565
1893,569
1894,577
1895,600
1896,629
1897,642
1898,660
1899,2481
1900,9895
1901,11621
1902,11704
1903,11787
1904,11871
1905,12442
1906,12599
1907,12742
1908,12844
1909,13371
1910,22081
1911,22317
1912,22566
1913,22737
1914,22890
1915,24160
1916,24313
1917,24451
1918,24517
1919,24550
1920,30445
1921,30627
1922,30815
1923,31032
1924,31280
1925,32419
1926,33262
1927,33565
1928,33863
1929,34162
1930,35464
1931,35606
1932,35675
1933,35689
1934,35714
1935,35814
1936,35878
1937,35948
1938,36039
1939,36162
1940,36747
1941,36795
1942,36824
1943,36829
1944,36835
1945,36913
1946,36974
1947,37057
1948,37128
1949,37180
1950,37523
1951,37634
1952,37694
1953,37741
1954,37840
1955,37928
1956,38003
1957,38105
1958,38214
1959,38340
1960,38581
1961,38719
1962,38870
1963,39091
1964,39216
1965,39348
1966,39428
1967,39495
1968,39566
1969,39628
1970,39734
1971,39798
1972,39857
1973,39930
1974,40010
1975,40130
1976,40155
1977,40179
1978,40202
1979,40245
1980,40342
1981,40367
1982,40400
1983,40452
1984,40484
1985,40546
1986,40620
1987,40690
1988,40738
1989,40802
1990,40837
1991,40862
1992,40894
1993,40911
1994,40950
1995,40971
1996,41017
1997,41074
1998,41164
1999,41237
2000,41384
2001,41510
2002,41617
2003,41711
2004,41783
2005,41845
2006,41896
2007,41961
2008,42029
2009,42100
2010,42141
2011,42166
2012,42193
2013,42232
