year,count
1765,1
1785,1
1798,1
1799,1
1800,27
1801,4
1805,1
1821,1
1824,2
1826,2
1827,3
1830,6
1834,2
1836,1
1839,1
1841,4
1842,1
1843,2
1845,2
1846,1
1847,2
1848,1
1849,1
1850,20
1851,2
1852,2
1853,1
1855,4
1856,2
1857,2
1858,1
1859,2
1860,10
1862,1
1863,1
1865,7
1866,2
1868,2
1869,6
1870,13
1872,2
1873,2
1875,10
1876,1
1880,92
1881,1
1882,5
1883,2
1884,3
1885,17
1886,3
1887,11
1888,11
1889,6
1890,240
1891,9
1892,4
1893,4
1894,8
1895,23
1896,29
1897,13
1898,18
1899,1821
1900,7414
1901,1726
1902,83
1903,83
1904,84
1905,571
1906,157
1907,143
1908,102
1909,527
1910,8710
1911,236
1912,249
1913,171
1914,153
1915,1270
1916,153
1917,138
1918,66
1919,33
1920,5895
1921,182
1922,188
1923,217
1924,248
1925,1139
1926,843
1927,303
1928,298
1929,299
1930,1302
1931,142
1932,69
1933,14
1934,25
1935,100
1936,64
1937,70
1938,91
1939,123
1940,585
1941,48
1942,29
1943,5
1944,6
1945,78
1946,61
1947,83
1948,71
1949,52
1950,343
1951,111
1952,60
1953,47
1954,99
1955,88
1956,75
1957,102
1958,109
1959,126
1960,241
1961,138
1962,151
1963,221
1964,125
1965,132
1966,80
1967,67
1968,71
1969,62
1970,106
1971,64
1972,59
1973,73
1974,80
1975,120
1976,25
1977,24
1978,23
1979,43
1980,97
1981,25
1982,33
1983,52
1984,32
1985,62
1986,74
1987,70
1988,48
1989,64
1990,35
1991,25
1992,32
1993,17
1994,39
1995,21
1996,46
1997,57
1998,90
1999,73
2000,147
2001,126
2002,107
2003,94
2004,72
2005,62
2006,51
2007,65
2008,68
2009,71
2010,41
2011,25
2012,27
2013,39
